target,tier,model,split,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,balanced_acc,prevalence,n_positive,n_total
aortic_regurgitation_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.764,0.7103,0.8168,0.049,0.0307,0.0918,0.607,0.0121,66,5442
aortic_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.7726,0.7211,0.8255,0.0382,0.0266,0.059,0.6985,0.0121,66,5442
mitral_regurgitation_moderate_or_greater_flag,demographics,LogisticRegression,test,0.6558,0.6265,0.6845,0.1045,0.0898,0.1261,0.6133,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,tabular_ecg,GradientBoostingClassifier,test,0.7707,0.7454,0.7965,0.1629,0.1418,0.1937,0.5036,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,waveform_features,RandomForestClassifier,test,0.7673,0.7408,0.7931,0.2112,0.1772,0.2591,0.5957,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,combined,GradientBoostingClassifier,test,0.8037,0.7804,0.8265,0.2314,0.1963,0.2754,0.5259,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,ECGConvNet,test,0.8071,0.7811,0.8311,0.2643,0.2202,0.313,0.7411,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8236,0.8005,0.8463,0.2741,0.2346,0.3291,0.7686,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.8202,0.7954,0.8424,0.2607,0.2193,0.3133,0.7581,0.0619,337,5442
mitral_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.8085,0.7851,0.8295,0.2138,0.1825,0.2553,0.738,0.0619,337,5442
tricuspid_regurgitation_moderate_or_greater_flag,demographics,LogisticRegression,test,0.6528,0.6246,0.6796,0.1115,0.0946,0.1353,0.6067,0.0649,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,tabular_ecg,GradientBoostingClassifier,test,0.7415,0.7143,0.7687,0.1692,0.145,0.2019,0.5133,0.0649,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,waveform_features,RandomForestClassifier,test,0.7761,0.7516,0.8001,0.1969,0.1702,0.2314,0.5919,0.0649,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,combined,GradientBoostingClassifier,test,0.8076,0.7844,0.8303,0.2598,0.2232,0.3064,0.5498,0.0649,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,ECGConvNet,test,0.847,0.8265,0.8666,0.2956,0.2568,0.3486,0.774,0.0649,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8574,0.8394,0.8757,0.3179,0.2744,0.3668,0.7768,0.0649,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.8565,0.8382,0.8759,0.327,0.2838,0.377,0.7588,0.0649,353,5442
tricuspid_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.8392,0.8193,0.8598,0.2744,0.2362,0.3219,0.7466,0.0649,353,5442
pulmonary_regurgitation_moderate_or_greater_flag,demographics,GradientBoostingClassifier,test,0.5,0.3715,0.6156,0.0037,0.0022,0.0063,0.4998,0.0037,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,tabular_ecg,GradientBoostingClassifier,test,0.5453,0.414,0.6938,0.0171,0.0029,0.1151,0.5246,0.0037,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,waveform_features,LogisticRegression,test,0.8458,0.7826,0.9038,0.0173,0.0093,0.0378,0.7516,0.0037,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,combined,GradientBoostingClassifier,test,0.8276,0.7703,0.8882,0.0209,0.0089,0.0611,0.4983,0.0037,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform,ECGConvNet,test,0.8227,0.7145,0.9191,0.0706,0.023,0.1829,0.723,0.0037,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8363,0.7332,0.9204,0.1797,0.0176,0.3596,0.6846,0.0037,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.7943,0.6827,0.8919,0.0549,0.0139,0.1794,0.6516,0.0037,20,5442
pulmonary_regurgitation_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.7472,0.6611,0.8252,0.0089,0.0052,0.0182,0.5127,0.0037,20,5442
rv_systolic_dysfunction_moderate_or_greater_flag,demographics,LogisticRegression,test,0.6628,0.6365,0.6869,0.1411,0.1219,0.1677,0.6134,0.077,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,tabular_ecg,GradientBoostingClassifier,test,0.7959,0.7738,0.8174,0.2613,0.2281,0.3082,0.531,0.077,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,waveform_features,RandomForestClassifier,test,0.8453,0.8255,0.8651,0.3576,0.3141,0.4125,0.7222,0.077,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,combined,GradientBoostingClassifier,test,0.8548,0.8363,0.8743,0.393,0.3494,0.4458,0.5919,0.077,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform,ECGConvNet,test,0.8778,0.8614,0.8942,0.4604,0.4125,0.5105,0.7959,0.077,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8828,0.8668,0.8996,0.461,0.4148,0.5111,0.808,0.077,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_cosine_schedule,ECGConvNet,test,0.8915,0.8758,0.9076,0.4941,0.4474,0.5444,0.8112,0.077,419,5442
rv_systolic_dysfunction_moderate_or_greater_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.8663,0.85,0.8832,0.3976,0.3518,0.4454,0.7739,0.077,419,5442
pericardial_effusion_moderate_large_flag,demographics,LogisticRegression,test,0.6487,0.5756,0.7117,0.0207,0.0154,0.0302,0.6414,0.0127,69,5442
pericardial_effusion_moderate_large_flag,tabular_ecg,LogisticRegression,test,0.6542,0.5776,0.7252,0.0344,0.0205,0.0704,0.6487,0.0127,69,5442
pericardial_effusion_moderate_large_flag,waveform_features,LogisticRegression,test,0.7101,0.6535,0.7658,0.0279,0.0199,0.0461,0.6482,0.0127,69,5442
pericardial_effusion_moderate_large_flag,combined,LogisticRegression,test,0.7326,0.6705,0.7914,0.04,0.0266,0.0704,0.679,0.0127,69,5442
pericardial_effusion_moderate_large_flag,cnn_raw_waveform,ECGConvNet,test,0.7875,0.7399,0.8339,0.0531,0.0331,0.0972,0.6931,0.0127,69,5442
pericardial_effusion_moderate_large_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.7786,0.7329,0.8226,0.0488,0.0302,0.0944,0.683,0.0127,69,5442
pericardial_effusion_moderate_large_flag,cnn_cosine_schedule,ECGConvNet,test,0.7666,0.7205,0.814,0.0349,0.024,0.055,0.6218,0.0127,69,5442
pericardial_effusion_moderate_large_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.7817,0.7303,0.8245,0.0519,0.0301,0.1091,0.6624,0.0127,69,5442
pasp_gte_45_flag,demographics,LogisticRegression,test,0.6646,0.6443,0.6854,0.2147,0.1919,0.2405,0.6168,0.1284,699,5442
pasp_gte_45_flag,tabular_ecg,GradientBoostingClassifier,test,0.7111,0.6909,0.7311,0.2696,0.2422,0.3035,0.5187,0.1284,699,5442
pasp_gte_45_flag,waveform_features,GradientBoostingClassifier,test,0.7456,0.7256,0.7635,0.3223,0.2921,0.3563,0.5269,0.1284,699,5442
pasp_gte_45_flag,combined,GradientBoostingClassifier,test,0.7739,0.7553,0.791,0.3576,0.322,0.3956,0.5485,0.1284,699,5442
pasp_gte_45_flag,cnn_raw_waveform,ECGConvNet,test,0.7835,0.7655,0.8003,0.3703,0.3357,0.4085,0.704,0.1284,699,5442
pasp_gte_45_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.8033,0.7858,0.8197,0.397,0.3607,0.4342,0.7284,0.1284,699,5442
pasp_gte_45_flag,cnn_cosine_schedule,ECGConvNet,test,0.7978,0.7796,0.814,0.3958,0.3584,0.4332,0.7192,0.1284,699,5442
pasp_gte_45_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.783,0.7653,0.799,0.3522,0.3191,0.3891,0.7116,0.1284,699,5442
tr_max_gte_32_flag,demographics,LogisticRegression,test,0.6473,0.6211,0.675,0.1089,0.0943,0.1288,0.6016,0.0689,375,5442
tr_max_gte_32_flag,tabular_ecg,LogisticRegression,test,0.672,0.6468,0.6969,0.1187,0.1035,0.1404,0.6199,0.0689,375,5442
tr_max_gte_32_flag,waveform_features,RandomForestClassifier,test,0.7195,0.6932,0.7449,0.1711,0.1445,0.2063,0.5525,0.0689,375,5442
tr_max_gte_32_flag,combined,GradientBoostingClassifier,test,0.744,0.7191,0.7674,0.1867,0.1591,0.2238,0.5099,0.0689,375,5442
tr_max_gte_32_flag,cnn_raw_waveform,ECGConvNet,test,0.7734,0.7516,0.7956,0.2247,0.1892,0.2646,0.689,0.0689,375,5442
tr_max_gte_32_flag,cnn_ecg_and_demographics,ECGConvNet,test,0.7937,0.7733,0.8148,0.2362,0.2004,0.2803,0.7092,0.0689,375,5442
tr_max_gte_32_flag,cnn_cosine_schedule,ECGConvNet,test,0.7914,0.7698,0.8132,0.2511,0.2097,0.2974,0.7172,0.0689,375,5442
tr_max_gte_32_flag,cnn_raw_waveform_v2,ECGConvNet,test,0.7697,0.7466,0.7913,0.208,0.1751,0.2505,0.6874,0.0689,375,5442
