fold,target,split,auroc,auprc,n_positive,n_total
2,rv_systolic_dysfunction_moderate_or_greater_flag,test,0.8897,0.4667,419,5442
2,pericardial_effusion_moderate_large_flag,test,0.7563,0.0465,69,5442
2,pasp_gte_45_flag,test,0.8059,0.4046,699,5442
2,tr_max_gte_32_flag,test,0.7962,0.2464,375,5442
3,shd_moderate_or_greater_flag,heldout_fold,0.8456,0.861,7990,15420
3,lvef_lte_45_flag,heldout_fold,0.8766,0.735,3640,15420
3,lvwt_gte_13_flag,heldout_fold,0.7653,0.4964,3678,15420
3,aortic_stenosis_moderate_or_greater_flag,heldout_fold,0.9054,0.3874,598,15420
3,aortic_regurgitation_moderate_or_greater_flag,heldout_fold,0.8318,0.1688,179,15420
3,mitral_regurgitation_moderate_or_greater_flag,heldout_fold,0.8361,0.3331,1342,15420
3,tricuspid_regurgitation_moderate_or_greater_flag,heldout_fold,0.8405,0.4307,1623,15420
3,pulmonary_regurgitation_moderate_or_greater_flag,heldout_fold,0.8796,0.144,131,15420
3,rv_systolic_dysfunction_moderate_or_greater_flag,heldout_fold,0.8696,0.541,1977,15420
3,pericardial_effusion_moderate_large_flag,heldout_fold,0.8068,0.2018,441,15420
3,pasp_gte_45_flag,heldout_fold,0.7936,0.4769,2854,15420
3,tr_max_gte_32_flag,heldout_fold,0.8096,0.3475,1549,15420
3,shd_moderate_or_greater_flag,test,0.8413,0.8104,2318,5442
3,lvef_lte_45_flag,test,0.8906,0.6928,962,5442
3,lvwt_gte_13_flag,test,0.763,0.4419,1061,5442
3,aortic_stenosis_moderate_or_greater_flag,test,0.8771,0.3736,286,5442
3,aortic_regurgitation_moderate_or_greater_flag,test,0.7153,0.0355,66,5442
3,mitral_regurgitation_moderate_or_greater_flag,test,0.8291,0.2726,337,5442
3,tricuspid_regurgitation_moderate_or_greater_flag,test,0.8487,0.3256,353,5442
3,pulmonary_regurgitation_moderate_or_greater_flag,test,0.7145,0.0117,20,5442
3,rv_systolic_dysfunction_moderate_or_greater_flag,test,0.8792,0.4713,419,5442
3,pericardial_effusion_moderate_large_flag,test,0.7706,0.0412,69,5442
3,pasp_gte_45_flag,test,0.8086,0.4073,699,5442
3,tr_max_gte_32_flag,test,0.7989,0.2493,375,5442
4,shd_moderate_or_greater_flag,heldout_fold,0.8362,0.8536,7990,15420
4,lvef_lte_45_flag,heldout_fold,0.873,0.731,3585,15420
4,lvwt_gte_13_flag,heldout_fold,0.7609,0.5004,3742,15420
4,aortic_stenosis_moderate_or_greater_flag,heldout_fold,0.8999,0.3623,632,15420
4,aortic_regurgitation_moderate_or_greater_flag,heldout_fold,0.8391,0.1041,194,15420
4,mitral_regurgitation_moderate_or_greater_flag,heldout_fold,0.8317,0.332,1269,15420
4,tricuspid_regurgitation_moderate_or_greater_flag,heldout_fold,0.8327,0.4055,1565,15420
4,pulmonary_regurgitation_moderate_or_greater_flag,heldout_fold,0.9075,0.2134,118,15420
4,rv_systolic_dysfunction_moderate_or_greater_flag,heldout_fold,0.8647,0.5335,1967,15420
4,pericardial_effusion_moderate_large_flag,heldout_fold,0.804,0.1921,420,15420
4,pasp_gte_45_flag,heldout_fold,0.7958,0.4636,2793,15420
4,tr_max_gte_32_flag,heldout_fold,0.8068,0.3273,1518,15420
4,shd_moderate_or_greater_flag,test,0.8364,0.8061,2318,5442
4,lvef_lte_45_flag,test,0.8889,0.6752,962,5442
4,lvwt_gte_13_flag,test,0.7614,0.4343,1061,5442
4,aortic_stenosis_moderate_or_greater_flag,test,0.8776,0.3895,286,5442
4,aortic_regurgitation_moderate_or_greater_flag,test,0.7599,0.0428,66,5442
4,mitral_regurgitation_moderate_or_greater_flag,test,0.8233,0.2705,337,5442
4,tricuspid_regurgitation_moderate_or_greater_flag,test,0.8518,0.325,353,5442
4,pulmonary_regurgitation_moderate_or_greater_flag,test,0.8137,0.0682,20,5442
4,rv_systolic_dysfunction_moderate_or_greater_flag,test,0.8826,0.4557,419,5442
4,pericardial_effusion_moderate_large_flag,test,0.7399,0.0335,69,5442
4,pasp_gte_45_flag,test,0.7994,0.4029,699,5442
4,tr_max_gte_32_flag,test,0.7876,0.2349,375,5442
ensemble,shd_moderate_or_greater_flag,test,0.8473,0.8217,2318,5442
ensemble,lvef_lte_45_flag,test,0.8995,0.7151,962,5442
ensemble,lvwt_gte_13_flag,test,0.7714,0.4562,1061,5442
ensemble,aortic_stenosis_moderate_or_greater_flag,test,0.885,0.3922,286,5442
ensemble,aortic_regurgitation_moderate_or_greater_flag,test,0.7748,0.0505,66,5442
ensemble,mitral_regurgitation_moderate_or_greater_flag,test,0.8378,0.2833,337,5442
ensemble,tricuspid_regurgitation_moderate_or_greater_flag,test,0.8632,0.3571,353,5442
ensemble,pulmonary_regurgitation_moderate_or_greater_flag,test,0.8201,0.0309,20,5442
ensemble,rv_systolic_dysfunction_moderate_or_greater_flag,test,0.8971,0.5116,419,5442
ensemble,pericardial_effusion_moderate_large_flag,test,0.7982,0.0535,69,5442
ensemble,pasp_gte_45_flag,test,0.8132,0.425,699,5442
ensemble,tr_max_gte_32_flag,test,0.805,0.267,375,5442
