target,feature,group_lead,group_type,importance_mean,importance_std
shd_moderate_or_greater_flag,aVR_rms,aVR,rms,4.956497204666732e-07,1.950801211624476e-05
shd_moderate_or_greater_flag,aVR_energy,aVR,energy,0.0,0.0
shd_moderate_or_greater_flag,aVR_skewness,aVR,skewness,0.0016820826438718184,0.0006615043860057822
shd_moderate_or_greater_flag,aVR_kurtosis,aVR,kurtosis,5.551276869932842e-05,5.567081226541456e-05
shd_moderate_or_greater_flag,aVR_zcr,aVR,zcr,5.581778391197112e-05,2.501961535601287e-05
shd_moderate_or_greater_flag,aVR_lf_power,aVR,lf_power,5.341578911244316e-05,9.450292293932303e-05
shd_moderate_or_greater_flag,aVR_ecg_band_power,aVR,ecg_band_power,0.0004736123714169871,0.00027281871134780106
shd_moderate_or_greater_flag,aVR_hf_power,aVR,hf_power,-8.769187363300012e-06,0.0002017018678509486
shd_moderate_or_greater_flag,aVR_total_power,aVR,total_power,0.00025781410847864895,5.227455438576176e-05
shd_moderate_or_greater_flag,aVR_dominant_freq,aVR,dominant_freq,0.00014682669798153912,8.75377718551861e-05
shd_moderate_or_greater_flag,aVR_spectral_entropy,aVR,spectral_entropy,0.0006801076703700116,0.00040509196158803685
shd_moderate_or_greater_flag,aVL_mean,aVL,mean,0.0007927345376349759,0.0002937617173722267
shd_moderate_or_greater_flag,aVL_std,aVL,std,0.00015864603747104412,8.886982469461093e-05
shd_moderate_or_greater_flag,aVL_min,aVL,min,0.00034901365705608534,0.00013187915036792704
shd_moderate_or_greater_flag,aVL_max,aVL,max,0.0008708184320692425,0.0004523243423454888
shd_moderate_or_greater_flag,aVL_rms,aVL,rms,0.00019673481214868004,5.747015481136112e-05
shd_moderate_or_greater_flag,aVL_energy,aVL,energy,0.00024286836305955627,8.550385905354858e-05
shd_moderate_or_greater_flag,aVL_skewness,aVL,skewness,-0.0001994036952593925,7.885893149413291e-05
shd_moderate_or_greater_flag,aVL_kurtosis,aVL,kurtosis,0.00020630466444506723,0.00014497181658655145
shd_moderate_or_greater_flag,aVL_zcr,aVL,zcr,-9.325840126279683e-05,5.565527362386383e-05
shd_moderate_or_greater_flag,aVL_lf_power,aVL,lf_power,0.0027257303207996577,0.0005911303244453482
shd_moderate_or_greater_flag,aVL_ecg_band_power,aVL,ecg_band_power,0.00029026010172250594,4.2563797815527895e-05
