ablation,target,auroc,delta_auroc
drop_V1,pulmonary_regurgitation_moderate_or_greater_flag,0.7116,-0.0303
drop_V1,rv_systolic_dysfunction_moderate_or_greater_flag,0.8519,-0.0332
drop_V1,pericardial_effusion_moderate_large_flag,0.7566,-0.009
drop_V1,pasp_gte_45_flag,0.7423,-0.0318
drop_V1,tr_max_gte_32_flag,0.7499,-0.04
drop_V2,shd_moderate_or_greater_flag,0.8175,-0.0016
drop_V2,lvef_lte_45_flag,0.8748,-0.0084
drop_V2,lvwt_gte_13_flag,0.7304,0.0022
drop_V2,aortic_stenosis_moderate_or_greater_flag,0.8055,-0.0156
drop_V2,aortic_regurgitation_moderate_or_greater_flag,0.7785,-0.0019
drop_V2,mitral_regurgitation_moderate_or_greater_flag,0.8039,-0.01
drop_V2,tricuspid_regurgitation_moderate_or_greater_flag,0.836,-0.0045
drop_V2,pulmonary_regurgitation_moderate_or_greater_flag,0.7412,-0.0007
drop_V2,rv_systolic_dysfunction_moderate_or_greater_flag,0.8714,-0.0137
drop_V2,pericardial_effusion_moderate_large_flag,0.7467,-0.0189
drop_V2,pasp_gte_45_flag,0.7658,-0.0083
drop_V2,tr_max_gte_32_flag,0.7812,-0.0087
drop_V3,shd_moderate_or_greater_flag,0.8166,-0.0025
drop_V3,lvef_lte_45_flag,0.8801,-0.0031
drop_V3,lvwt_gte_13_flag,0.7257,-0.0025
drop_V3,aortic_stenosis_moderate_or_greater_flag,0.8156,-0.0055
drop_V3,aortic_regurgitation_moderate_or_greater_flag,0.7843,0.0039
drop_V3,mitral_regurgitation_moderate_or_greater_flag,0.8126,-0.0013
drop_V3,tricuspid_regurgitation_moderate_or_greater_flag,0.8403,-0.0002
drop_V3,pulmonary_regurgitation_moderate_or_greater_flag,0.7358,-0.0061
drop_V3,rv_systolic_dysfunction_moderate_or_greater_flag,0.8785,-0.0066
drop_V3,pericardial_effusion_moderate_large_flag,0.7429,-0.0227
drop_V3,pasp_gte_45_flag,0.7696,-0.0045
drop_V3,tr_max_gte_32_flag,0.7827,-0.0072
drop_V4,shd_moderate_or_greater_flag,0.8138,-0.0053
drop_V4,lvef_lte_45_flag,0.8837,0.0005
drop_V4,lvwt_gte_13_flag,0.7215,-0.0067
drop_V4,aortic_stenosis_moderate_or_greater_flag,0.8142,-0.0069
drop_V4,aortic_regurgitation_moderate_or_greater_flag,0.784,0.0036
drop_V4,mitral_regurgitation_moderate_or_greater_flag,0.8104,-0.0035
drop_V4,tricuspid_regurgitation_moderate_or_greater_flag,0.8329,-0.0076
drop_V4,pulmonary_regurgitation_moderate_or_greater_flag,0.7354,-0.0065
drop_V4,rv_systolic_dysfunction_moderate_or_greater_flag,0.88,-0.0051
drop_V4,pericardial_effusion_moderate_large_flag,0.7607,-0.0049
drop_V4,pasp_gte_45_flag,0.7712,-0.0029
drop_V4,tr_max_gte_32_flag,0.7842,-0.0057
drop_V5,shd_moderate_or_greater_flag,0.8149,-0.0042
drop_V5,lvef_lte_45_flag,0.8823,-0.0009
drop_V5,lvwt_gte_13_flag,0.7253,-0.0029
drop_V5,aortic_stenosis_moderate_or_greater_flag,0.819,-0.0021
drop_V5,aortic_regurgitation_moderate_or_greater_flag,0.7833,0.0029
drop_V5,mitral_regurgitation_moderate_or_greater_flag,0.8087,-0.0052
drop_V5,tricuspid_regurgitation_moderate_or_greater_flag,0.8335,-0.007
drop_V5,pulmonary_regurgitation_moderate_or_greater_flag,0.7434,0.0015
drop_V5,rv_systolic_dysfunction_moderate_or_greater_flag,0.8783,-0.0068
drop_V5,pericardial_effusion_moderate_large_flag,0.752,-0.0136
drop_V5,pasp_gte_45_flag,0.768,-0.0061
drop_V5,tr_max_gte_32_flag,0.7815,-0.0084
drop_V6,shd_moderate_or_greater_flag,0.8101,-0.009
drop_V6,lvef_lte_45_flag,0.8804,-0.0028
drop_V6,lvwt_gte_13_flag,0.723,-0.0052
drop_V6,aortic_stenosis_moderate_or_greater_flag,0.8197,-0.0014
drop_V6,aortic_regurgitation_moderate_or_greater_flag,0.7711,-0.0093
drop_V6,mitral_regurgitation_moderate_or_greater_flag,0.807,-0.0069
drop_V6,tricuspid_regurgitation_moderate_or_greater_flag,0.8365,-0.004
drop_V6,pulmonary_regurgitation_moderate_or_greater_flag,0.7224,-0.0195
drop_V6,rv_systolic_dysfunction_moderate_or_greater_flag,0.8814,-0.0037
drop_V6,pericardial_effusion_moderate_large_flag,0.7553,-0.0103
drop_V6,pasp_gte_45_flag,0.77,-0.0041
drop_V6,tr_max_gte_32_flag,0.7879,-0.002
limb_only,shd_moderate_or_greater_flag,0.7638,-0.0553
limb_only,lvef_lte_45_flag,0.8092,-0.074
limb_only,lvwt_gte_13_flag,0.6908,-0.0374
limb_only,aortic_stenosis_moderate_or_greater_flag,0.785,-0.0361
limb_only,aortic_regurgitation_moderate_or_greater_flag,0.7249,-0.0555
limb_only,mitral_regurgitation_moderate_or_greater_flag,0.7537,-0.0602
limb_only,tricuspid_regurgitation_moderate_or_greater_flag,0.7742,-0.0663
limb_only,pulmonary_regurgitation_moderate_or_greater_flag,0.6747,-0.0672
limb_only,rv_systolic_dysfunction_moderate_or_greater_flag,0.7934,-0.0917
limb_only,pericardial_effusion_moderate_large_flag,0.6927,-0.0729
limb_only,pasp_gte_45_flag,0.7065,-0.0676
limb_only,tr_max_gte_32_flag,0.6972,-0.0927
chest_only,shd_moderate_or_greater_flag,0.7515,-0.0676
chest_only,lvef_lte_45_flag,0.8263,-0.0569
chest_only,lvwt_gte_13_flag,0.6837,-0.0445
chest_only,aortic_stenosis_moderate_or_greater_flag,0.7293,-0.0918
chest_only,aortic_regurgitation_moderate_or_greater_flag,0.6707,-0.1097
chest_only,mitral_regurgitation_moderate_or_greater_flag,0.7776,-0.0363
chest_only,tricuspid_regurgitation_moderate_or_greater_flag,0.7916,-0.0489
chest_only,pulmonary_regurgitation_moderate_or_greater_flag,0.7069,-0.035
chest_only,rv_systolic_dysfunction_moderate_or_greater_flag,0.8274,-0.0577
chest_only,pericardial_effusion_moderate_large_flag,0.6188,-0.1468
chest_only,pasp_gte_45_flag,0.7351,-0.039
chest_only,tr_max_gte_32_flag,0.7409,-0.049
lead_II_only,shd_moderate_or_greater_flag,0.568,-0.2511
lead_II_only,lvef_lte_45_flag,0.5286,-0.3546
lead_II_only,lvwt_gte_13_flag,0.5499,-0.1783
lead_II_only,aortic_stenosis_moderate_or_greater_flag,0.6344,-0.1867
lead_II_only,aortic_regurgitation_moderate_or_greater_flag,0.5745,-0.2059
lead_II_only,mitral_regurgitation_moderate_or_greater_flag,0.6575,-0.1564
lead_II_only,tricuspid_regurgitation_moderate_or_greater_flag,0.6354,-0.2051
lead_II_only,pulmonary_regurgitation_moderate_or_greater_flag,0.5448,-0.1971
lead_II_only,rv_systolic_dysfunction_moderate_or_greater_flag,0.4596,-0.4255
lead_II_only,pericardial_effusion_moderate_large_flag,0.4643,-0.3013
lead_II_only,pasp_gte_45_flag,0.6406,-0.1335
lead_II_only,tr_max_gte_32_flag,0.6273,-0.1626
four_lead_I_II_V1_V5,shd_moderate_or_greater_flag,0.7381,-0.081
four_lead_I_II_V1_V5,lvef_lte_45_flag,0.7986,-0.0846
four_lead_I_II_V1_V5,lvwt_gte_13_flag,0.6746,-0.0536
four_lead_I_II_V1_V5,aortic_stenosis_moderate_or_greater_flag,0.7564,-0.0647
four_lead_I_II_V1_V5,aortic_regurgitation_moderate_or_greater_flag,0.6831,-0.0973
four_lead_I_II_V1_V5,mitral_regurgitation_moderate_or_greater_flag,0.7368,-0.0771
four_lead_I_II_V1_V5,tricuspid_regurgitation_moderate_or_greater_flag,0.7658,-0.0747
four_lead_I_II_V1_V5,pulmonary_regurgitation_moderate_or_greater_flag,0.6384,-0.1035
four_lead_I_II_V1_V5,rv_systolic_dysfunction_moderate_or_greater_flag,0.7611,-0.124
four_lead_I_II_V1_V5,pericardial_effusion_moderate_large_flag,0.6224,-0.1432
four_lead_I_II_V1_V5,pasp_gte_45_flag,0.7095,-0.0646
four_lead_I_II_V1_V5,tr_max_gte_32_flag,0.7187,-0.0712
